Tactic,Technique #,Technique Name,Test #,Test Name,Test GUID,Executor Name
persistence,T1156,.bash_profile and .bashrc,1,Add command to .bash_profile,9f5b2e58-d7c8-40c2-ac84-8f5f38628484,sh
persistence,T1156,.bash_profile and .bashrc,2,Add command to .bashrc,028fe338-ee65-409a-9bce-6e4694b99d88,sh
persistence,T1176,Browser Extensions,1,Chrome (Developer Mode),95288dfe-c808-425e-b2fe-b499b2051f32,manual
persistence,T1176,Browser Extensions,2,Chrome (Chrome Web Store),ba106fe1-c95a-4daf-9461-af488d09ebc4,manual
persistence,T1176,Browser Extensions,3,Firefox,1e85f20c-b104-40ef-b5c5-23e7af280597,manual
persistence,T1136,Create Account,1,Create a user account on a Linux system,62edb633-1cb4-43b7-9fe0-f3f2962ad577,bash
persistence,T1136,Create Account,5,Create a new user in Linux with `root` UID and GID.,c35887a6-dd12-4520-bc09-c167e8ff9fde,bash
persistence,T1158,Hidden Files and Directories,1,Create a hidden file in a hidden directory,252ebeb8-09d5-4278-9c8b-8bf1893ee432,sh
persistence,T1215,Kernel Modules and Extensions,1,Linux - Load Kernel Module via insmod,dd3d86a5-e55c-48eb-8ba8-05aa067df922,bash
persistence,T1168,Local Job Scheduling,1,Cron - Replace crontab with referenced file,ceec02d0-1319-4803-abfd-8365aab3657d,bash
persistence,T1168,Local Job Scheduling,2,Cron - Add script to cron folder,ce78ee97-c5c5-4202-9138-44a8cbbcee06,bash
persistence,T1168,Local Job Scheduling,3,Event Monitor Daemon Persistence,79b65197-d7bd-4e79-befb-c6809940a687,manual
persistence,T1166,Setuid and Setgid,1,Make and modify binary from C source,560b64d9-ec12-4f3f-b153-bf8d704318e5,sh
persistence,T1166,Setuid and Setgid,2,Set a SetUID flag on file,d118c39d-487e-41d8-a8aa-dd1ac6cce31c,sh
persistence,T1166,Setuid and Setgid,3,Set a SetGID flag on file,75abaa14-102a-45c4-9673-8d8ac09d403f,sh
persistence,T1501,Systemd Service,1,Create Systemd Service,7836d02d-b76a-456d-a902-10b61d95b597,bash
persistence,T1154,Trap,1,Trap,23e7523f-c9e4-42e9-a87f-1cd4182f3c1b,sh
impact,T1485,Data Destruction,2,macOS/Linux - Overwrite file with DD,3c409f1d-b390-4225-99fe-53791fdf5082,bash
impact,T1496,Resource Hijacking,1,macOS/Linux - Simulate CPU Load with Yes,c385322d-68cd-4009-a8bf-d04e061c255e,bash
impact,T1529,System Shutdown/Reboot,3,Restart System via `shutdown` - macOS/Linux,64e98b62-b3ca-429a-a52c-55b4667c181b,bash
impact,T1529,System Shutdown/Reboot,4,Shutdown System via `shutdown` - macOS/Linux,b6e6160a-0bc1-4faa-91aa-74ddba31023e,bash
impact,T1529,System Shutdown/Reboot,5,Restart System via `reboot` - macOS/Linux,49bd5fa8-177a-4988-bf7e-c9c82d974a98,bash
impact,T1529,System Shutdown/Reboot,6,Shutdown System via `halt` - Linux,e64d5c12-a106-4314-ae3b-00333e7fcb47,bash
impact,T1529,System Shutdown/Reboot,7,Reboot System via `halt` - Linux,ae3651db-84f4-4322-8b1c-08e095507fa0,bash
impact,T1529,System Shutdown/Reboot,8,Shutdown System via `poweroff` - Linux,a9e18980-4cf8-4938-9297-5f138cf9af10,bash
impact,T1529,System Shutdown/Reboot,9,Reboot System via `poweroff` - Linux,42c94858-e8b4-4453-91d7-26ef711145b3,bash
discovery,T1087,Account Discovery,1,Enumerate all accounts,b49627c8-22ef-4b9a-9b23-735c015c6acb,sh
discovery,T1087,Account Discovery,2,View sudoers access,7fd96cd4-ee69-4be3-8796-5c951355627e,sh
discovery,T1087,Account Discovery,3,View accounts with UID 0,30bd140a-ce15-4881-8d99-d7084e0bab86,sh
discovery,T1087,Account Discovery,4,List opened files by user,275b8ec4-36d1-40d3-9d02-a33caab0aecf,sh
discovery,T1087,Account Discovery,5,Show if a user account has ever logged in remotely,c250f76f-2255-4f9f-a63b-b2e63089249b,sh
discovery,T1087,Account Discovery,6,Enumerate users and groups,96b2c366-85d8-4083-9d73-71fa06ea4e11,sh
discovery,T1217,Browser Bookmark Discovery,1,List Mozilla Firefox Bookmark Database Files on Linux,19d7cb62-df0f-4b75-ac25-0b451dec7da1,sh
discovery,T1083,File and Directory Discovery,3,Nix File and Diectory Discovery,0742b587-74de-4b2f-9859-b91c450e6ab5,sh
discovery,T1083,File and Directory Discovery,4,Nix File and Directory Discovery 2,1a92cecc-c76d-4125-b095-b248bd7c7330,sh
discovery,T1046,Network Service Scanning,1,Port Scan,516fd6a1-595e-4ce1-90d9-a98992cdc2a0,sh
discovery,T1046,Network Service Scanning,2,Port Scan Nmap,bdd32174-baab-4032-9bae-337c1d16ac25,sh
discovery,T1135,Network Share Discovery,1,Network Share Discovery,71817144-7599-4009-a66f-eae566e588c6,sh
discovery,T1040,Network Sniffing,1,Packet Capture Linux,57ad13ef-2892-4c88-9320-1748a5d4f920,bash
discovery,T1201,Password Policy Discovery,1,Examine password complexity policy - Ubuntu,62a7b0f7-aaaf-4e7a-894c-a93636d73b31,bash
discovery,T1201,Password Policy Discovery,2,Examine password complexity policy - CentOS/RHEL 7.x,0c8d8362-4ae9-4066-a2ce-e5105239f0e5,bash
discovery,T1201,Password Policy Discovery,3,Examine password complexity policy - CentOS/RHEL 6.x,27b55adf-2e83-4aca-ab47-071f670af187,bash
discovery,T1201,Password Policy Discovery,4,Examine password expiration policy - All Linux,f2f3d640-9676-4ec3-ba3f-bbdbde30752e,bash
discovery,T1069,Permission Groups Discovery,1,Permission Groups Discovery,7db21d87-8207-4d40-ae4b-e09ecdcec7f0,sh
discovery,T1057,Process Discovery,1,Process Discovery - ps,3fa4d9d2-9ba8-402d-ba4a-f4f8cfed9244,sh
discovery,T1018,Remote System Discovery,6,Remote System Discovery - arp nix,b78a903b-b8a0-40d7-a53c-b770dcd5f9a0,sh
discovery,T1018,Remote System Discovery,7,Remote System Discovery - sweep,5b2a5904-5b04-4e05-ac30-7443c8e5788a,sh
discovery,T1082,System Information Discovery,3,List OS Information,0653376d-aba5-4a92-abac-0291b9159c3f,sh
discovery,T1082,System Information Discovery,4,Linux VM Check via Hardware,893576c6-0028-4fda-af94-ad3f017edc64,bash
discovery,T1082,System Information Discovery,5,Linux VM Check via Kernel Modules,9250e60e-b0c1-451e-8a06-9bccecc7c2ee,bash
discovery,T1082,System Information Discovery,7,Hostname Discovery,01bda8b1-3746-486b-bf6e-adc43aac6d7a,bash
discovery,T1016,System Network Configuration Discovery,3,System Network Configuration Discovery,6283f067-8fbb-41d5-b3a9-773edeed7d4b,sh
discovery,T1049,System Network Connections Discovery,3,System Network Connections Discovery Linux & MacOS,6b512537-dc50-414c-8e71-184bbd658476,sh
discovery,T1033,System Owner/User Discovery,2,System Owner/User Discovery,f43d9644-9d84-4fd0-b1f3-b860aa8d6a11,sh
credential-access,T1139,Bash History,1,Search Through Bash History,71025b6e-c685-42f9-8de0-fceb724e56a9,sh
credential-access,T1081,Credentials in Files,2,Extract passwords with grep,48082ea4-9366-4e61-9c52-8e63ed3ab50c,sh
credential-access,T1040,Network Sniffing,1,Packet Capture Linux,57ad13ef-2892-4c88-9320-1748a5d4f920,bash
credential-access,T1145,Private Keys,2,Discover Private SSH Keys,a3a52593-6b0a-4914-9a76-2c4a65f4a873,sh
credential-access,T1145,Private Keys,3,Copy Private SSH Keys with CP,71155409-4b77-4408-a262-6322a6a9cea3,sh
credential-access,T1145,Private Keys,4,Copy Private SSH Keys with rsync,71e16dd8-4c95-4370-8f8f-8c2ea9beedeb,sh
defense-evasion,T1009,Binary Padding,1,Pad Binary to Change Hash - Linux/macOS dd,0066e889-00a2-43fe-9be7-d0c1e85d5962,sh
defense-evasion,T1146,Clear Command History,1,Clear Bash history (rm),d7a68489-9b17-4f03-b70c-8c4851718e39,sh
defense-evasion,T1146,Clear Command History,2,Clear Bash history (echo),8ea12ac8-a48d-494b-ac05-4245e0115da0,sh
defense-evasion,T1146,Clear Command History,3,Clear Bash history (cat dev/null),a92d4f35-01e7-4b1b-95a6-727ba3e5b53d,sh
